USERID,USERNAME_,NAMESURNAME,STATUS_,USERGENDER,USERBIRTHDATE,REGION,CITY,TOWN,DISTRICT,ADDRESSTEXT
25001,taylan.sahin22632@yahootracker.com,Taylan Şahin,1,M,1975-09-12,Akdeniz,Mersin,SILIFKE,PAZARKASI MAH.,PAZARKASI MAH. 348. SOKAK  33950  SILIFKE/MERSIN
25002,emre.turan.onal39532@yahootracker.com,Emre Turan Önal,1,M,1960-11-26,Ic Anadolu,Ankara,ALTINDAG,BESIKKAYA MAH.,BESIKKAYA MAH. 2019. SOKAK  06360  ALTINDAG/ANKARA
25003,melek.bulut81257@inboxplus.com,Melek Bulut,1,F,1963-01-24,Ic Anadolu,Yozgat,CEKEREK,BAHCELIEVLER MAH.,BAHCELIEVLER MAH. ATA SOKAK  66500  CEKEREK/YOZGAT
25004,furkan.bagci19718@gmaileo.com,Furkan Bağcı,1,M,1969-07-08,Ege,Denizli,DENIZLI MERKEZ,KARSIYAKA MAH.,KARSIYAKA MAH. 2384/1 SOKAK    DENIZLI MERKEZ/DENIZLI
25005,umut.demir23071@gmaileo.com,Umut Demir,1,M,1973-05-28,Ege,Afyonkarahisar,AFYONKARAHISAR MERKEZ,ALI IHSAN PASA MAH.,ALI IHSAN PASA MAH. 161. SOKAK    AFYONKARAHISAR MERKEZ/AFYONKARAHISAR
25006,idil.sevim79058@outlookerlab.com,İdil Sevim,1,F,1951-11-10,Marmara,Istanbul,FATIH,HIRKA-I SERIF MAH.,HIRKA-I SERIF MAH. KUYULU TURBE CIKMAZI SOKAK  34091  FATIH/ISTANBUL
25007,ismail.ali.yilmaz32830@inboxplus.com,İsmail Ali Yılmaz,1,M,1952-02-14,Marmara,Bursa,NILUFER,CAMLICA MAH.,CAMLICA MAH. GULDUREN SOKAK  16110  NILUFER/BURSA
25008,ibrahim.yalcin5332@gmaileo.com,İbrahim Yalçın,1,M,1974-04-19,Dogu Anadolu,Van,BAHCESARAY,ISLAM MAH.,ISLAM MAH. DICLE KUME EVLERI  65710  BAHCESARAY/VAN
25009,mehmet.ozer29363@gmaileo.com,Mehmet Özer,1,M,1981-11-22,Akdeniz,Antalya,DOSEMEALTI,DAGBELI-CUMHURIYET MAH.,DAGBELI-CUMHURIYET MAH. 399. SOKAK    DOSEMEALTI/ANTALYA
25010,volkan.gunduz9680@outlookerlab.com,Volkan Gündüz,1,M,1953-07-07,Marmara,Istanbul,ARNAVUTKOY,TERKOS MAH.,TERKOS MAH. KUMLUK SOKAK  34277  ARNAVUTKOY/ISTANBUL
25011,kursat.hasan.dinc34548@inboxplus.com,Kürşat Hasan Dinç,1,M,1963-09-10,Marmara,Istanbul,BUYUKCEKMECE,KAMILOBA MAH.,KAMILOBA MAH. BERKER SOKAK  34584  BUYUKCEKMECE/ISTANBUL
25012,burak.kivanc22919@yahootracker.com,Burak Kıvanç,1,M,1960-06-25,Ic Anadolu,Sivas,SUSEHRI,TASKOPRU MAH.,TASKOPRU MAH. DUZTEPE SOKAK  58600  SUSEHRI/SIVAS
25013,suna.orhan55916@yahootracker.com,Suna Orhan,1,F,1988-06-28,Karadeniz,Giresun,GIRESUN MERKEZ,GUVEC KOYU,GUVEC KOYU MAH. KEMALLI MEVKI    GIRESUN MERKEZ/GIRESUN
25014,esra.simsek50707@gmaileo.com,Esra Şimşek,1,F,1986-04-26,Karadeniz,Rize,CAYELI,CILINGIR KOYU,CILINGIR KOYU MAH. SIRT MEVKI  53260  CAYELI/RIZE
25015,omer.alper.orhan36250@hotmailia.com,Ömer Alper Orhan,1,M,1986-02-26,Guneydogu Anadolu,Adiyaman,ADIYAMAN MERKEZ,TURKIYE PETROLLERI MAH.,TURKIYE PETROLLERI MAH. 3137. SOKAK    ADIYAMAN MERKEZ/ADIYAMAN
25016,veli.dogan25898@inboxplus.com,Veli Doğan,1,M,1990-02-23,Guneydogu Anadolu,Batman,SASON,DORTBOLUK KOYU,DORTBOLUK KOYU MAH. AGAKUNUK MEVKI  72502  SASON/BATMAN
25017,bora.yesil15716@yahootracker.com,Bora Yeşil,1,M,1952-10-02,Ege,Afyonkarahisar,AFYONKARAHISAR MERKEZ,YENICE MAH.,YENICE MAH. 13. SOKAK    AFYONKARAHISAR MERKEZ/AFYONKARAHISAR
25018,ibrahim.ozer7382@outlookerlab.com,İbrahim Özer,1,M,1989-01-02,Ege,Izmir,CIGLI,YENI MAHALLE MAH.,YENI MAHALLE MAH. 8043. SOKAK  35620  CIGLI/IZMIR
25019,defne.yalcin54775@gmaileo.com,Defne Yalçın,1,F,1998-05-03,Ege,Denizli,DENIZLI MERKEZ,DOKUZKAVAKLAR MAH.,DOKUZKAVAKLAR MAH. 2049/3 SOKAK    DENIZLI MERKEZ/DENIZLI
25020,pinar.bahar.gok98467@inboxplus.com,Pınar Bahar Gök,1,F,1997-03-11,Marmara,Istanbul,BUYUKCEKMECE,ATATURK MAH.,ATATURK MAH. ZAMBAK SOKAK  34500  BUYUKCEKMECE/ISTANBUL
25021,orhan.tekin12755@outlookerlab.com,Orhan Tekin,1,M,1998-01-10,Marmara,Kocaeli,IZMIT,ALIKAHYA ATATURK MAH.,ALIKAHYA ATATURK MAH. VATAN CADDESI  41310  IZMIT/KOCAELI
25022,feride.ozer78515@outlookerlab.com,Feride Özer,1,F,1997-08-20,Ege,Izmir,URLA,CAMLICAY MAH.,CAMLICAY MAH. 5233. SOKAK  35445  URLA/IZMIR
25023,omer.yalcin14666@outlookerlab.com,Ömer Yalçın,1,M,1964-06-22,Ic Anadolu,Ankara,YENIMAHALLE,YENI BATI MAH.,YENI BATI MAH. 2364. SOKAK  06370  YENIMAHALLE/ANKARA
25024,emine.yildiz55630@yahootracker.com,Emine Yıldız,1,F,1952-02-16,Marmara,Istanbul,TUZLA,CAMI MAH.,CAMI MAH. NESELI SOKAK  34940  TUZLA/ISTANBUL
25025,mina.yildirim69392@outlookerlab.com,Mina Yıldırım,1,F,1989-04-15,Marmara,Bursa,YILDIRIM,YAVUZSELIM MAH.,YAVUZSELIM MAH. 4.YAZICI SOKAK  16290  YILDIRIM/BURSA
25026,aydin.kose14439@gmaileo.com,Aydın Köse,1,M,1990-07-24,Marmara,Kocaeli,GEBZE,ARAPCESME MAH.,ARAPCESME MAH. SEHIT MULAZIM KARATAY CADDESI  41400  GEBZE/KOCAELI
25027,yusuf.polat11089@hotmailia.com,Yusuf Polat,1,M,1992-04-05,Karadeniz,Samsun,CARSAMBA,YESILIRMAK MAH.,YESILIRMAK MAH. CEYLAN SOKAK  55500  CARSAMBA/SAMSUN
25028,hatice.saglam69083@gmaileo.com,Hatice Sağlam,1,F,1965-02-10,Akdeniz,Adana,SEYHAN,SUCUZADE MAH.,SUCUZADE MAH. 30093. SOKAK  01030  SEYHAN/ADANA
25029,sevgi.kurtulus57443@yahootracker.com,Sevgi Kurtuluş,1,F,1955-01-04,Marmara,Istanbul,BEYLIKDUZU,DEREAGZI MAH.,DEREAGZI MAH. ONAY SOKAK  34528  BEYLIKDUZU/ISTANBUL
25030,emre.kaptan3978@outlookerlab.com,Emre Kaptan,1,M,1968-05-25,Marmara,Edirne,UZUNKOPRU,ATATURK MAH.,ATATURK MAH. ORHAN GAZI SOKAK  22300  UZUNKOPRU/EDIRNE
25031,suna.belgin.yucel95694@yahootracker.com,Suna Belgin Yücel,1,F,1997-11-22,Guneydogu Anadolu,Gaziantep,SEHITKAMIL,FATIH MAH.,FATIH MAH. 22028 NOLU SOKAK  27060  SEHITKAMIL/GAZIANTEP
25032,kerem.cetin28314@yahootracker.com,Kerem Çetin,1,M,1988-02-02,Marmara,Istanbul,SILIVRI,BUYUKCAVUSLU MERKEZ MAH.,BUYUKCAVUSLU MERKEZ MAH. MEKAN SOKAK    SILIVRI/ISTANBUL
25033,sinem.turkmen54343@yahootracker.com,Sinem Türkmen,1,F,1996-08-08,Ic Anadolu,Ankara,CANKAYA,SEYRANBAGLARI MAH.,SEYRANBAGLARI MAH. SEYRAN CADDESI  06660  CANKAYA/ANKARA
