USERID,USERNAME_,NAMESURNAME,STATUS_,USERGENDER,USERBIRTHDATE,REGION,CITY,TOWN,DISTRICT,ADDRESSTEXT
5001,mert.guney26568@yahootracker.com,Mert Güney,1,M,1965-02-09,Marmara,Sakarya,SOGUTLU,SOGUCAK KOYU,SOGUCAK KOYU MAH. AYDIN SOKAK  54160  SOGUTLU/SAKARYA
5002,gulsum.bayram70419@gmaileo.com,Gülsüm Bayram,1,F,1966-11-07,Marmara,Istanbul,SARIYER,MERKEZ MAH.,MERKEZ MAH. BULBUL SOKAK  34450  SARIYER/ISTANBUL
5003,alper.sari25790@outlookerlab.com,Alper Sarı,1,M,1970-02-04,Karadeniz,Zonguldak,EREGLI/ZONGULDAK,GOKCELER-KIZILSU MAH.,GOKCELER-KIZILSU MAH. KANDILLI CADDESI    EREGLI/ZONGULDAK/ZONGULDAK
5004,turan.erdogan15008@inboxplus.com,Turan Erdoğan,1,M,1980-08-07,Marmara,Sakarya,GEYVE,ALIFUATPASA-YENI MAH.,ALIFUATPASA-YENI MAH. 8. SOKAK    GEYVE/SAKARYA
5005,defne.aydin54593@inboxplus.com,Defne Aydın,1,F,1984-05-18,Ic Anadolu,Ankara,YENIMAHALLE,YASAMKENT MAH.,YASAMKENT MAH. 3129. SOKAK    YENIMAHALLE/ANKARA
5006,mete.yasin.demir39536@yahootracker.com,Mete Yasin Demir,1,M,1980-09-28,Marmara,Istanbul,FATIH,KOCAMUSTAFAPASA MAH.,KOCAMUSTAFAPASA MAH. HATUNIYE CAMII SOKAK    FATIH/ISTANBUL
5007,selim.kivanc3753@outlookerlab.com,Selim Kıvanç,1,M,1994-11-10,Ic Anadolu,Ankara,YENIMAHALLE,INONU MAH.,INONU MAH. 1710 UYGARKENT SOKAK  06370  YENIMAHALLE/ANKARA
5008,selim.ozkan13999@inboxplus.com,Selim Özkan,1,M,1991-02-21,Ic Anadolu,Ankara,SINCAN,ALCI MAH.,ALCI MAH. S.S YAZI-DAN K.Y.KOOP KUME EVLERI  06930  SINCAN/ANKARA
5009,berk.gokhan.kivanc37923@inboxplus.com,Berk Gökhan Kıvanç,1,M,1982-09-16,Akdeniz,Antalya,ALANYA,MAHMUTLAR-CUMHURIYET MAH.,MAHMUTLAR-CUMHURIYET MAH. 255 NOLU SOKAK  07450  ALANYA/ANTALYA
5010,sibel.sevgi.ozer88818@inboxplus.com,Sibel Sevgi Özer,1,F,1974-12-11,Akdeniz,Adana,SEYHAN,GOKCELER MAH.,GOKCELER MAH. 1002. SOKAK  01355  SEYHAN/ADANA
5011,deniz.gunes20031@outlookerlab.com,Deniz Güneş,1,M,1956-11-03,Akdeniz,Adana,SEYHAN,SOGUTLU MAH.,SOGUTLU MAH. 99024. SOKAK  01110  SEYHAN/ADANA
5012,sami.turkmen8578@gmaileo.com,Sami Türkmen,1,M,1961-01-25,Guneydogu Anadolu,Adiyaman,GOLBASI/ADIYAMAN,FATIH MAH.,FATIH MAH. 128. SOKAK    GOLBASI/ADIYAMAN/ADIYAMAN
5013,derya.dilan.cinar87686@outlookerlab.com,Derya Dilan Çınar,1,F,1956-03-12,Karadeniz,Bolu,SEBEN,DEGIRMENKAYA KOYU,DEGIRMENKAYA KOYU MAH. ASAGI MEVKI  14752  SEBEN/BOLU
5014,ozgur.mehmet.cetin34734@yahootracker.com,Özgür Mehmet Çetin,1,M,1960-01-06,Guneydogu Anadolu,Sanliurfa,CEYLANPINAR,KEPEZ MAH.,KEPEZ MAH. 351. SOKAK    CEYLANPINAR/SANLIURFA
5015,esra.tugba.yilmaz91089@outlookerlab.com,Esra Tuğba Yılmaz,1,F,1990-09-26,Marmara,Istanbul,USKUDAR,CENGELKOY MAH.,CENGELKOY MAH. OZLEM SOKAK  34680  USKUDAR/ISTANBUL
5016,mert.ismail.coban33564@inboxplus.com,Mert İsmail Çoban,1,M,1998-10-15,Guneydogu Anadolu,Gaziantep,SEHITKAMIL,SANAYI MAH.,SANAYI MAH. TOPTANCILAR(60092 NOLU) SOKAK  27110  SEHITKAMIL/GAZIANTEP
5017,berk.arslan9760@yahootracker.com,Berk Arslan,1,M,1955-05-18,Marmara,Kocaeli,KANDIRA,KOCAKAYMAS KOYU,KOCAKAYMAS KOYU MAH. BEREN SOKAK  41600  KANDIRA/KOCAELI
5018,mina.altun79195@inboxplus.com,Mina Altun,1,F,1962-09-26,Marmara,Istanbul,SARIYER,USKUMRUKOY,USKUMRUKOY MAH. 11. CD CADDESI    SARIYER/ISTANBUL
5019,sevgi.tas70825@outlookerlab.com,Sevgi Taş,1,F,1972-01-06,Dogu Anadolu,Van,VAN MERKEZ,SEREFIYE MAH.,SEREFIYE MAH. 1694 AYAZ 7 SOKAK    VAN MERKEZ/VAN
5020,deniz.bulut25603@outlookerlab.com,Deniz Bulut,1,M,1951-03-20,Guneydogu Anadolu,Diyarbakir,BAGLAR,KAYNARTEPE MAH.,KAYNARTEPE MAH. 281-2.CIKMAZ SOKAK  21090  BAGLAR/DIYARBAKIR
5021,nisa.melis.yildiz90969@outlookerlab.com,Nisa Melis Yıldız,1,F,1955-03-18,Marmara,Istanbul,BAHCELIEVLER,KOCASINAN_MERKEZ MAH.,KOCASINAN_MERKEZ MAH. SANCAK SOKAK    BAHCELIEVLER/ISTANBUL
5022,melek.kaptan72596@yahootracker.com,Melek Kaptan,1,F,1991-08-19,Ege,Kutahya,KUTAHYA MERKEZ,MEYDAN MAH.,MEYDAN MAH. AZIMLI SOKAK    KUTAHYA MERKEZ/KUTAHYA
5023,derya.ozdemir82012@outlookerlab.com,Derya Özdemir,1,F,1983-10-04,Marmara,Istanbul,EYUP,GOKTURK MERKEZ MAH.,GOKTURK MERKEZ MAH. DEFNE SOKAK  34077  EYUP/ISTANBUL
5024,hale.erdogan75699@outlookerlab.com,Hale Erdoğan,1,F,1972-07-12,Karadeniz,Kastamonu,TASKOPRU,TABAKHANE MAH.,TABAKHANE MAH. CUMHURIYET CADDESI  37400  TASKOPRU/KASTAMONU
5025,dilan.gok72416@inboxplus.com,Dilan Gök,1,F,1988-11-26,Ege,Izmir,TIRE,KURSAK KOYU,KURSAK KOYU MAH. GUNES SOKAK  35900  TIRE/IZMIR
