USERID,USERNAME_,NAMESURNAME,STATUS_,USERGENDER,USERBIRTHDATE,REGION,CITY,TOWN,DISTRICT,ADDRESSTEXT
35001,arda.cengiz.orhan40096@inboxplus.com,Arda Cengiz Orhan,1,M,1958-06-23,Akdeniz,Mersin,CAMLIYAYLA,SEBIL-TASLIEKINLIK MAH.,SEBIL-TASLIEKINLIK MAH. 475. SOKAK    CAMLIYAYLA/MERSIN
35002,melis.figen.koksal98878@gmaileo.com,Melis Figen Köksal,1,F,1999-11-02,Marmara,Istanbul,BEYLIKDUZU,KAVAKLI MAH.,KAVAKLI MAH. SALTUK BUGRA HAN SOKAK  34520  BEYLIKDUZU/ISTANBUL
35003,faruk.yilmaz4066@gmaileo.com,Faruk Yılmaz,1,M,1998-03-11,Marmara,Istanbul,BUYUKCEKMECE,ALKENT 2000 MAH.,ALKENT 2000 MAH. GUVERCIN SOKAK  34500  BUYUKCEKMECE/ISTANBUL
35004,taylan.sari5762@yahootracker.com,Taylan Sarı,1,M,1954-02-28,Karadeniz,Giresun,GORELE,KOPRUBASI-TASLIK MAH.,KOPRUBASI-TASLIK MAH. CILEK SOKAK    GORELE/GIRESUN
35005,idil.turkmen65619@inboxplus.com,İdil Türkmen,1,F,1960-11-22,Akdeniz,Osmaniye,OSMANIYE MERKEZ,ISTIKLAL MAH.,ISTIKLAL MAH. 5001. SOKAK    OSMANIYE MERKEZ/OSMANIYE
35006,sami.selim.kocak41709@hotmailia.com,Sami Selim Koçak,1,M,1978-12-09,Guneydogu Anadolu,Adiyaman,KAHTA,MENDERES MAH.,MENDERES MAH. 9024. SOKAK  02400  KAHTA/ADIYAMAN
35007,taylan.caglar23474@hotmailia.com,Taylan Çağlar,1,M,1992-11-17,Guneydogu Anadolu,Adiyaman,KAHTA,SEYHBABA MAH.,SEYHBABA MAH. 1507. SOKAK  02400  KAHTA/ADIYAMAN
35008,faruk.koc25226@hotmailia.com,Faruk Koç,1,M,1962-04-23,Ege,Afyonkarahisar,AFYONKARAHISAR MERKEZ,HACI CAFER MAH.,HACI CAFER MAH. CUKUR CADDESI    AFYONKARAHISAR MERKEZ/AFYONKARAHISAR
35009,kadir.akin16935@inboxplus.com,Kadir Akın,1,M,1952-11-21,Marmara,Bursa,OSMANGAZI,OVAAKCA SANTRAL MAH.,OVAAKCA SANTRAL MAH. 5.ELIF SOKAK  16335  OSMANGAZI/BURSA
35010,omer.koray.erturk42291@gmaileo.com,Ömer Koray Ertürk,1,M,1967-01-12,Ege,Manisa,ALASEHIR,PIYADELER-YAYALAR MAH.,PIYADELER-YAYALAR MAH. BAHCIVAN KUME EVLERI  45615  ALASEHIR/MANISA
35011,cagri.atilla.balci45127@outlookerlab.com,Çağrı Atilla Balcı,1,M,1979-09-20,Ege,Izmir,KARABAGLAR,ALI FUAT CEBESOY MAH.,ALI FUAT CEBESOY MAH. 9501/2 SOKAK  35160  KARABAGLAR/IZMIR
35012,oguz.altun16128@inboxplus.com,Oğuz Altun,1,M,1993-03-20,Ic Anadolu,Ankara,KAZAN,KAYI MAH.,KAYI MAH. HUNKAR SOKAK  06980  KAZAN/ANKARA
35013,huseyin.yusuf.erturk44823@outlookerlab.com,Hüseyin Yusuf Ertürk,1,M,1985-04-02,Marmara,Tekirdag,CERKEZKOY,GAZI OSMAN PASA MAH.,GAZI OSMAN PASA MAH. ICLI SOKAK  59500  CERKEZKOY/TEKIRDAG
35014,irem.turkmen52910@gmaileo.com,İrem Türkmen,1,F,1955-09-06,Ege,Mugla,DALAMAN,MERKEZ MAH.,MERKEZ MAH. SANAYI CAD 18 SOKAK  48770  DALAMAN/MUGLA
35015,aysun.yildirim47798@yahootracker.com,Aysun Yıldırım,1,F,1958-10-02,Karadeniz,Zonguldak,ZONGULDAK MERKEZ,YESIL MAH.,YESIL MAH. AKSEMSETTiN CADDESI    ZONGULDAK MERKEZ/ZONGULDAK
35016,yigit.emre.ilhan40434@gmaileo.com,Yiğit Emre İlhan,1,M,1965-05-07,Akdeniz,Kahramanmaras,KAHRAMANMARAS MERKEZ,KURTULUS MAH.,KURTULUS MAH. ATATURK BULVARI    KAHRAMANMARAS MERKEZ/KAHRAMANMARAS
35017,gul.kaptan82533@gmaileo.com,Gül Kaptan,1,F,1999-04-25,Ic Anadolu,Kayseri,INCESU,SUKSUN HURRIYET MAH.,SUKSUN HURRIYET MAH. BOZTEPE SOKAK  38560  INCESU/KAYSERI
35018,ozgur.sami.balci42140@inboxplus.com,Özgür Sami Balcı,1,M,1985-04-30,Marmara,Istanbul,CATALCA,CAKIL MAH.,CAKIL MAH. SEYFETTIN SAHIN 2 SOKAK  34540  CATALCA/ISTANBUL
35019,levent.gurkan.keskin39211@hotmailia.com,Levent Gürkan Keskin,1,M,1976-02-21,Akdeniz,Kahramanmaras,ELBISTAN,ORHANGAZI MAH.,ORHANGAZI MAH. SANAYI SITESI 6 SOKAK  46300  ELBISTAN/KAHRAMANMARAS
35020,beste.sen52448@gmaileo.com,Beste Şen,1,F,1966-04-24,Marmara,Istanbul,BEYKOZ,RIVA KOYU,RIVA KOYU MAH. YAGDERE SOKAK  34829  BEYKOZ/ISTANBUL
35021,nehir.acar72811@inboxplus.com,Nehir Acar,1,F,1952-08-08,Ic Anadolu,Kayseri,MELIKGAZI,CAMIKEBIR MAH.,CAMIKEBIR MAH. VUREL SOKAK  38110  MELIKGAZI/KAYSERI
