USERID,USERNAME_,NAMESURNAME,STATUS_,USERGENDER,USERBIRTHDATE,REGION,CITY,TOWN,DISTRICT,ADDRESSTEXT
10000,burak.guven12677@hotmailia.com,Burak Güven,1,M,1976-07-10,Guneydogu Anadolu,Gaziantep,SEHITKAMIL,BOYNO MAH.,BOYNO MAH. 07008 NOLU SOKAK  27500  SEHITKAMIL/GAZIANTEP
10001,murat.cetin15282@inboxplus.com,Murat Çetin,1,M,1953-05-25,Karadeniz,Samsun,ILKADIM,KUSCULU MAH.,KUSCULU MAH. 1648. CADDESI  55090  ILKADIM/SAMSUN
10002,emre.kaya14103@inboxplus.com,Emre Kaya,1,M,1980-07-06,Marmara,Istanbul,SILIVRI,GUMUSYAKA MERKEZ MAH.,GUMUSYAKA MERKEZ MAH. 302. SOKAK    SILIVRI/ISTANBUL
10003,murat.cakmak4175@gmaileo.com,Murat Çakmak,1,M,1966-11-01,Akdeniz,Mersin,ERDEMLI,CESMELI-ATATURK MAH.,CESMELI-ATATURK MAH. 50. SOKAK    ERDEMLI/MERSIN
10004,selim.keles4689@yahootracker.com,Selim Keleş,1,M,1950-01-31,Ic Anadolu,Ankara,SINCAN,PINARBASI MAH.,PINARBASI MAH. KARAYOLU SOKAK  06930  SINCAN/ANKARA
10005,emine.bayram52510@yahootracker.com,Emine Bayram,1,F,1980-04-15,Akdeniz,Adana,KOZAN,CUMHURIYET MAH.,CUMHURIYET MAH. FATIH CAMII SOKAK  01500  KOZAN/ADANA
10006,nesrin.guler50440@gmaileo.com,Nesrin Güler,1,F,1987-11-20,Marmara,Istanbul,ARNAVUTKOY,M.FEVZI CAKMAK MAH.,M.FEVZI CAKMAK MAH. OBA SOKAK    ARNAVUTKOY/ISTANBUL
10007,sami.erdogan27785@outlookerlab.com,Sami Erdoğan,1,M,1982-10-04,Marmara,Istanbul,AVCILAR,YESILKENT MAH.,YESILKENT MAH. G-729 SOKAK    AVCILAR/ISTANBUL
10008,okan.ozkan3774@inboxplus.com,Okan Özkan,1,M,1958-05-30,Marmara,Bursa,YILDIRIM,BARUTHANE MAH.,BARUTHANE MAH. 1.KEKLIK SOKAK  16320  YILDIRIM/BURSA
10009,ozgur.saglam5960@yahootracker.com,Özgür Sağlam,1,M,1999-01-08,Karadeniz,Tokat,TOKAT MERKEZ,AKBELEN-FATIH MAH.,AKBELEN-FATIH MAH. SARICAM SOKAK    TOKAT MERKEZ/TOKAT
10010,ibrahim.ozkan31243@outlookerlab.com,İbrahim Özkan,1,M,1952-08-13,Ic Anadolu,Kirsehir,KAMAN,BAHCELIEVLER MAH.,BAHCELIEVLER MAH. PRENS MIKASA CADDESI  40300  KAMAN/KIRSEHIR
10011,ugur.keskin21541@inboxplus.com,Uğur Keskin,1,M,1978-01-30,Marmara,Istanbul,MALTEPE,BAGLARBASI MAH.,BAGLARBASI MAH. KIRLANGIC SOKAK  34844  MALTEPE/ISTANBUL
